areacode,area,FisheryID,id_nm,RunYear,TimeStep,fishery_status,reg_start_date,reg_end_date,days,ereg_url,notes,target_species
5,5,42,42:Ar 5 Sport,2000,4,NS,11/1/2000,11/30/2000,30,,,CHIN
6,6,54,54:Ar 6 Sport,2000,4,NS,11/1/2000,11/30/2000,30,,,CHIN
7,7,36,36:Ar 7 Sport,2000,4,NS,11/1/2000,11/30/2000,30,,,CHIN
81,81,45,45:Ar 8-1 Spt,2000,4,NS,11/1/2000,11/30/2000,30,,,CHIN
82,82,45,45:Ar 8-1 Spt,2000,4,closed,11/1/2000,2/15/2001,107,,,CHIN
9,9,53,53:Ar 9 Sport,2000,4,NS,11/1/2000,11/30/2000,30,,,CHIN
10,10,56,56:A 10 Sport,2000,4,NS,11/1/2000,11/30/2000,30,,,CHIN
5,5,42,42:Ar 5 Sport,2000,4,closed,12/1/2000,2/15/2001,77,,,CHIN
6,6,54,54:Ar 6 Sport,2000,4,closed,12/1/2000,2/15/2001,77,,,CHIN
7,7,36,36:Ar 7 Sport,2000,4,closed,12/1/2000,2/15/2001,77,,,CHIN
81,81,45,45:Ar 8-1 Spt,2000,4,closed,12/1/2000,2/15/2001,77,,,CHIN
9,9,53,53:Ar 9 Sport,2000,4,closed,12/1/2000,2/15/2001,77,,,CHIN
10,10,56,56:A 10 Sport,2000,4,closed,12/1/2000,2/15/2001,77,,,CHIN
11,11,57,57:A 11 Sport,2000,4,closed,12/1/2000,2/15/2001,77,,,CHIN
12,12,64,64:A 12 Sport,2000,4,closed,1/1/2001,2/15/2001,46,,,CHIN
13,13,67,67:A 13 Sport,2000,4,C&R,1/1/2001,2/15/2001,46,,,CHIN
5,5,42,42:Ar 5 Sport,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
6,6,54,54:Ar 6 Sport,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
7,7,36,36:Ar 7 Sport,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
81,81,45,45:Ar 8-1 Spt,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
82,82,45,45:Ar 8-1 Spt,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
9,9,53,53:Ar 9 Sport,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
10,10,56,56:A 10 Sport,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
11,11,57,57:A 11 Sport,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
12,12,64,64:A 12 Sport,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
13,13,67,67:A 13 Sport,2000,4,NS,2/16/2001,4/10/2001,54,,,CHIN
5,5,42,42:Ar 5 Sport,2000,4,closed,4/11/2001,6/30/2001,81,,,CHIN
6,6,54,54:Ar 6 Sport,2000,4,closed,4/11/2001,7/31/2001,112,,,CHIN
7,7,36,36:Ar 7 Sport,2000,4,closed,4/11/2001,6/30/2001,81,,,CHIN
81,81,45,45:Ar 8-1 Spt,2000,4,closed,4/11/2001,7/31/2001,112,,,CHIN
82,82,45,45:Ar 8-1 Spt,2000,4,closed,4/11/2001,7/31/2001,112,,,CHIN
9,9,53,53:Ar 9 Sport,2000,4,closed,4/11/2001,7/31/2001,112,,,CHIN
10,10,56,56:A 10 Sport,2000,4,closed,4/11/2001,6/30/2001,81,,,CHIN
11,11,57,57:A 11 Sport,2000,4,closed,4/11/2001,5/31/2001,51,,,CHIN
12,12,64,64:A 12 Sport,2000,4,closed,4/11/2001,6/30/2001,81,,,CHIN
13,13,67,67:A 13 Sport,2000,4,closed,4/11/2001,4/30/2001,20,,,CHIN
13,13,67,67:A 13 Sport,2001,2,NS,5/1/2001,6/30/2001,61,,,CHIN
11,11,57,57:A 11 Sport,2001,2,NS,6/1/2001,6/30/2001,30,,,CHIN
5,5,42,42:Ar 5 Sport,2001,3,NS,7/1/2001,9/30/2001,92,,,CHIN
7,7,36,36:Ar 7 Sport,2001,3,NS,7/1/2001,9/30/2001,92,,,CHIN
10,10,56,56:A 10 Sport,2001,3,NR,7/1/2001,9/30/2001,92,,,CHIN
11,11,57,57:A 11 Sport,2001,3,NS,7/1/2001,9/30/2001,92,,,CHIN
12,12,64,64:A 12 Sport,2001,3,NS_SOA,7/1/2001,9/30/2001,92,,,CHIN
13,13,67,67:A 13 Sport,2001,3,NS,7/1/2001,9/30/2001,92,,,CHIN
6,6,54,54:Ar 6 Sport,2001,3,NR,8/1/2001,9/30/2001,61,,,CHIN
81,81,45,45:Ar 8-1 Spt,2001,3,NR,8/1/2001,10/31/2001,92,,,CHIN
82,82,45,45:Ar 8-1 Spt,2001,3,NR,8/1/2001,10/31/2001,92,,,CHIN
9,9,53,53:Ar 9 Sport,2001,3,NR,8/1/2001,9/30/2001,61,,,CHIN
12,12,64,64:A 12 Sport,2001,3,NR_NOA,9/1/2001,9/30/2001,30,,,CHIN
5,5,42,42:Ar 5 Sport,2001,4,closed,10/1/2001,10/31/2001,31,,,CHIN
6,6,54,54:Ar 6 Sport,2001,4,closed,10/1/2001,10/31/2001,31,,,CHIN
7,7,36,36:Ar 7 Sport,2001,4,NR,10/1/2001,10/31/2001,31,,,CHIN
9,9,53,53:Ar 9 Sport,2001,4,NR,10/1/2001,10/31/2001,31,,,CHIN
10,10,56,56:A 10 Sport,2001,4,NR,10/1/2001,10/31/2001,31,,,CHIN
11,11,57,57:A 11 Sport,2001,4,NS,10/1/2001,12/31/2001,92,,,CHIN
12,12,64,64:A 12 Sport,2001,4,NR,10/1/2001,11/30/2001,61,,,CHIN
13,13,67,67:A 13 Sport,2001,4,NS,10/1/2001,12/31/2001,92,,,CHIN
5,5,42,42:Ar 5 Sport,2001,4,NS,11/1/2001,11/30/2001,30,,,CHIN
6,6,54,54:Ar 6 Sport,2001,4,NS,11/1/2001,11/30/2001,30,,,CHIN
7,7,36,36:Ar 7 Sport,2001,4,NS,11/1/2001,11/30/2001,30,,,CHIN
81,81,45,45:Ar 8-1 Spt,2001,4,NS,11/1/2001,11/30/2001,30,,,CHIN
82,82,45,45:Ar 8-1 Spt,2001,4,NS,11/1/2001,11/30/2001,30,,,CHIN
9,9,53,53:Ar 9 Sport,2001,4,NS,11/1/2001,11/30/2001,30,,,CHIN
10,10,56,56:A 10 Sport,2001,4,NS,11/1/2001,11/30/2001,30,,,CHIN
5,5,42,42:Ar 5 Sport,2001,4,closed,12/1/2001,2/15/2002,77,,,CHIN
6,6,54,54:Ar 6 Sport,2001,4,closed,12/1/2001,2/15/2002,77,,,CHIN
7,7,36,36:Ar 7 Sport,2001,4,closed,12/1/2001,2/15/2002,77,,,CHIN
81,81,45,45:Ar 8-1 Spt,2001,4,closed,12/1/2001,2/15/2002,77,,,CHIN
82,82,45,45:Ar 8-1 Spt,2001,4,closed,12/1/2001,2/15/2002,77,,,CHIN
9,9,53,53:Ar 9 Sport,2001,4,closed,12/1/2001,2/15/2002,77,,,CHIN
10,10,56,56:A 10 Sport,2001,4,C&R,12/1/2001,12/15/2001,15,,,CHIN
12,12,64,64:A 12 Sport,2001,4,closed,12/1/2001,2/28/2002,90,,,CHIN
10,10,56,56:A 10 Sport,2001,4,NS,12/16/2001,12/31/2001,16,,,CHIN
10,10,56,56:A 10 Sport,2001,4,closed,1/1/2002,2/28/2002,59,,,CHIN
11,11,57,57:A 11 Sport,2001,4,closed,1/1/2002,2/15/2002,46,,,CHIN
13,13,67,67:A 13 Sport,2001,4,C&R,1/1/2002,2/15/2002,46,,,CHIN
5,5,42,42:Ar 5 Sport,2001,4,NS,2/16/2002,4/10/2002,54,,,CHIN
6,6,54,54:Ar 6 Sport,2001,4,NS,2/16/2002,4/10/2002,54,,,CHIN
7,7,36,36:Ar 7 Sport,2001,4,NS,2/16/2002,4/10/2002,54,,,CHIN
81,81,45,45:Ar 8-1 Spt,2001,4,NS,2/16/2002,4/10/2002,54,,,CHIN
82,82,45,45:Ar 8-1 Spt,2001,4,NS,2/16/2002,4/10/2002,54,,,CHIN
9,9,53,53:Ar 9 Sport,2001,4,NS,2/16/2002,4/10/2002,54,,,CHIN
11,11,57,57:A 11 Sport,2001,4,NS,2/16/2002,4/15/2002,59,,,CHIN
13,13,67,67:A 13 Sport,2001,4,NS,2/16/2002,4/10/2002,54,,,CHIN
10,10,56,56:A 10 Sport,2001,4,NS,3/1/2002,4/15/2002,46,,,CHIN
12,12,64,64:A 12 Sport,2001,4,NS,3/1/2002,3/31/2002,31,,,CHIN
12,12,64,64:A 12 Sport,2001,4,closed,4/1/2002,6/30/2002,91,,,CHIN
5,5,42,42:Ar 5 Sport,2001,4,closed,4/11/2002,6/30/2002,81,,,CHIN
6,6,54,54:Ar 6 Sport,2001,4,closed,4/11/2002,6/30/2002,81,,,CHIN
7,7,36,36:Ar 7 Sport,2001,4,closed,4/11/2002,6/30/2002,81,,,CHIN
81,81,45,45:Ar 8-1 Spt,2001,4,closed,4/11/2002,7/31/2002,112,,,CHIN
82,82,45,45:Ar 8-1 Spt,2001,4,closed,4/11/2002,7/31/2002,112,,,CHIN
9,9,53,53:Ar 9 Sport,2001,4,closed,4/11/2002,6/30/2002,81,,,CHIN
13,13,67,67:A 13 Sport,2001,4,C&R,4/11/2002,4/30/2002,20,,,CHIN
10,10,56,56:A 10 Sport,2001,4,closed,4/16/2002,6/30/2002,76,,,CHIN
11,11,57,57:A 11 Sport,2001,4,closed,4/16/2002,6/30/2002,76,,,CHIN
13,13,67,67:A 13 Sport,2002,2,NS,5/1/2002,6/30/2002,61,,,CHIN
5,5,42,42:Ar 5 Sport,2002,3,NR,7/1/2002,7/7/2002,7,,,CHIN
6,6,54,54:Ar 6 Sport,2002,3,NR,7/1/2002,9/30/2002,92,,,CHIN
7,7,36,36:Ar 7 Sport,2002,3,NS,7/1/2002,9/30/2002,92,,,CHIN
9,9,53,53:Ar 9 Sport,2002,3,NR,7/1/2002,9/30/2002,92,,,CHIN
10,10,56,56:A 10 Sport,2002,3,NR,7/1/2002,9/30/2002,92,,,CHIN
11,11,57,57:A 11 Sport,2002,3,NS,7/1/2002,9/30/2002,92,,,CHIN
12,12,64,64:A 12 Sport,2002,3,NS_SOA,7/1/2002,9/30/2002,92,,,CHIN
13,13,67,67:A 13 Sport,2002,3,NS,7/1/2002,9/30/2002,92,,,CHIN
5,5,42,42:Ar 5 Sport,2002,3,NS,7/8/2002,9/30/2002,85,,,CHIN
81,81,45,45:Ar 8-1 Spt,2002,3,NR,8/1/2002,10/31/2002,92,,,CHIN
82,82,45,45:Ar 8-1 Spt,2002,3,NR,8/1/2002,10/31/2002,92,,,CHIN
12,12,64,64:A 12 Sport,2002,3,NR_NOA,9/1/2002,9/30/2002,30,,,CHIN
5,5,42,42:Ar 5 Sport,2002,4,closed,10/1/2002,10/31/2002,31,,,CHIN
6,6,54,54:Ar 6 Sport,2002,4,closed,10/1/2002,10/31/2002,31,,,CHIN
7,7,36,36:Ar 7 Sport,2002,4,NR,10/1/2002,10/31/2002,31,,,CHIN
9,9,53,53:Ar 9 Sport,2002,4,NR,10/1/2002,10/31/2002,31,,,CHIN
10,10,56,56:A 10 Sport,2002,4,NR,10/1/2002,10/31/2002,31,,,CHIN
11,11,57,57:A 11 Sport,2002,4,NS,10/1/2002,4/10/2003,192,,,CHIN
12,12,64,64:A 12 Sport,2002,4,NS_SOA,10/1/2002,10/15/2002,15,,,CHIN
12,12,64,64:A 12 Sport,2002,4,NR_NOA,10/1/2002,10/15/2002,15,,,CHIN
13,13,67,67:A 13 Sport,2002,4,NS,10/1/2002,12/31/2002,92,,,CHIN
12,12,64,64:A 12 Sport,2002,4,NS,10/16/2002,12/31/2002,77,,,CHIN
5,5,42,42:Ar 5 Sport,2002,4,NS,11/1/2002,11/30/2002,30,,,CHIN
6,6,54,54:Ar 6 Sport,2002,4,NS,11/1/2002,11/30/2002,30,,,CHIN
7,7,36,36:Ar 7 Sport,2002,4,NS,11/1/2002,11/30/2002,30,,,CHIN
81,81,45,45:Ar 8-1 Spt,2002,4,NS,11/1/2002,11/30/2002,30,,,CHIN
82,82,45,45:Ar 8-1 Spt,2002,4,NS,11/1/2002,11/30/2002,30,,,CHIN
9,9,53,53:Ar 9 Sport,2002,4,NS,11/1/2002,11/30/2002,30,,,CHIN
10,10,56,56:A 10 Sport,2002,4,NS,11/1/2002,11/30/2002,30,,,CHIN
5,5,42,42:Ar 5 Sport,2002,4,closed,12/1/2002,2/15/2003,77,,,CHIN
6,6,54,54:Ar 6 Sport,2002,4,closed,12/1/2002,2/14/2003,76,,,CHIN
7,7,36,36:Ar 7 Sport,2002,4,closed,12/1/2002,1/31/2003,62,,,CHIN
81,81,45,45:Ar 8-1 Spt,2002,4,closed,12/1/2002,1/31/2003,62,,,CHIN
82,82,45,45:Ar 8-1 Spt,2002,4,closed,12/1/2002,2/14/2003,76,,,CHIN
9,9,53,53:Ar 9 Sport,2002,4,closed,12/1/2002,1/31/2003,62,,,CHIN
10,10,56,56:A 10 Sport,2002,4,C&R,12/1/2002,12/15/2002,15,,,CHIN
10,10,56,56:A 10 Sport,2002,4,NS,12/16/2002,2/28/2003,75,,,CHIN
12,12,64,64:A 12 Sport,2002,4,closed,1/1/2003,2/14/2003,45,,,CHIN
13,13,67,67:A 13 Sport,2002,4,C&R,1/1/2003,2/15/2003,46,,,CHIN
7,7,36,36:Ar 7 Sport,2002,4,NS,2/1/2003,3/31/2003,59,,,CHIN
81,81,45,45:Ar 8-1 Spt,2002,4,NS,2/1/2003,3/31/2003,59,,,CHIN
9,9,53,53:Ar 9 Sport,2002,4,NS,2/1/2003,3/31/2003,59,,,CHIN
6,6,54,54:Ar 6 Sport,2002,4,NS,2/15/2003,4/10/2003,55,,,CHIN
82,82,45,45:Ar 8-1 Spt,2002,4,NS,2/15/2003,4/10/2003,55,,,CHIN
12,12,64,64:A 12 Sport,2002,4,NS,2/15/2003,4/10/2003,55,,,CHIN
5,5,42,42:Ar 5 Sport,2002,4,NS,2/16/2003,4/10/2003,54,,,CHIN
13,13,67,67:A 13 Sport,2002,4,NS,2/16/2003,4/10/2003,54,,,CHIN
10,10,56,56:A 10 Sport,2002,4,closed,3/1/2003,6/15/2003,107,,,CHIN
7,7,36,36:Ar 7 Sport,2002,4,closed,4/1/2003,6/30/2003,91,,,CHIN
81,81,45,45:Ar 8-1 Spt,2002,4,closed,4/1/2003,7/31/2003,122,,,CHIN
9,9,53,53:Ar 9 Sport,2002,4,closed,4/1/2003,7/15/2003,106,,,CHIN
5,5,42,42:Ar 5 Sport,2002,4,closed,4/11/2003,6/30/2003,81,,,CHIN
6,6,54,54:Ar 6 Sport,2002,4,closed,4/11/2003,6/30/2003,81,,,CHIN
82,82,45,45:Ar 8-1 Spt,2002,4,closed,4/11/2003,7/31/2003,112,,,CHIN
11,11,57,57:A 11 Sport,2002,4,closed,4/11/2003,5/31/2003,51,,,CHIN
12,12,64,64:A 12 Sport,2002,4,closed,4/11/2003,6/30/2003,81,,,CHIN
13,13,67,67:A 13 Sport,2002,4,C&R,4/11/2003,4/30/2003,20,,,CHIN
13,13,67,67:A 13 Sport,2003,2,NS,5/1/2003,6/30/2003,61,,,CHIN
11,11,57,57:A 11 Sport,2003,2,NS,6/1/2003,6/30/2003,30,,,CHIN
10,10,56,56:A 10 Sport,2003,2,C&R,6/16/2003,6/30/2003,15,,,CHIN
5,5,42,42:Ar 5 Sport,2003,3,NR,7/1/2003,7/4/2003,4,,,CHIN
6,6,54,54:Ar 6 Sport,2003,3,NR,7/1/2003,7/4/2003,4,,,CHIN
7,7,36,36:Ar 7 Sport,2003,3,NS,7/1/2003,9/30/2003,92,,,CHIN
10,10,56,56:A 10 Sport,2003,3,NR,7/1/2003,9/30/2003,92,,,CHIN
11,11,57,57:A 11 Sport,2003,3,NS,7/1/2003,9/30/2003,92,,,CHIN
12,12,64,64:A 12 Sport,2003,3,NS_SOA,7/1/2003,9/30/2003,92,,,CHIN
13,13,67,67:A 13 Sport,2003,3,NS,7/1/2003,9/30/2003,92,,,CHIN
5,5,42,42:Ar 5 Sport,2003,3,MSF,7/5/2003,8/3/2003,30,https://fortress.wa.gov/dfw/erules/efishrules/erule.jsp?id=94,,CHIN
6,6,54,54:Ar 6 Sport,2003,3,MSF,7/5/2003,8/4/2003,31,https://fortress.wa.gov/dfw/erules/efishrules/erule.jsp?id=94,,CHIN
9,9,53,53:Ar 9 Sport,2003,3,NR,7/16/2003,9/30/2003,77,,,CHIN
81,81,45,45:Ar 8-1 Spt,2003,3,NR,8/1/2003,10/31/2003,92,,,CHIN
82,82,45,45:Ar 8-1 Spt,2003,3,NR,8/1/2003,10/31/2003,92,,,CHIN
5,5,42,42:Ar 5 Sport,2003,3,NR,8/4/2003,9/30/2003,58,,,CHIN
6,6,54,54:Ar 6 Sport,2003,3,NR,8/5/2003,9/30/2003,57,,,CHIN
12,12,64,64:A 12 Sport,2003,3,NR_NOA,9/1/2003,9/30/2003,30,,,CHIN
5,5,42,42:Ar 5 Sport,2003,4,closed,10/1/2003,10/31/2003,31,,,CHIN
6,6,54,54:Ar 6 Sport,2003,4,closed,10/1/2003,10/31/2003,31,,,CHIN
7,7,36,36:Ar 7 Sport,2003,4,NR,10/1/2003,10/31/2003,31,,,CHIN
9,9,53,53:Ar 9 Sport,2003,4,NR,10/1/2003,10/31/2003,31,,,CHIN
10,10,56,56:A 10 Sport,2003,4,NR,10/1/2003,10/31/2003,31,,,CHIN
11,11,57,57:A 11 Sport,2003,4,NS,10/1/2003,12/31/2003,92,,,CHIN
12,12,64,64:A 12 Sport,2003,4,NS_SOA,10/1/2003,10/15/2003,15,,,CHIN
12,12,64,64:A 12 Sport,2003,4,NR_NOA,10/1/2003,10/15/2003,15,,,CHIN
13,13,67,67:A 13 Sport,2003,4,NS,10/1/2003,4/30/2004,213,,,CHIN
12,12,64,64:A 12 Sport,2003,4,NS,10/16/2003,12/31/2003,77,,,CHIN
5,5,42,42:Ar 5 Sport,2003,4,NS,11/1/2003,11/30/2003,30,,,CHIN
6,6,54,54:Ar 6 Sport,2003,4,NS,11/1/2003,11/30/2003,30,,,CHIN
7,7,36,36:Ar 7 Sport,2003,4,NS,11/1/2003,11/30/2003,30,,,CHIN
81,81,45,45:Ar 8-1 Spt,2003,4,NS,11/1/2003,11/30/2003,30,,,CHIN
82,82,45,45:Ar 8-1 Spt,2003,4,NS,11/1/2003,11/30/2003,30,,,CHIN
9,9,53,53:Ar 9 Sport,2003,4,NS,11/1/2003,11/30/2003,30,,,CHIN
10,10,56,56:A 10 Sport,2003,4,NS,11/1/2003,11/30/2003,30,,,CHIN
5,5,42,42:Ar 5 Sport,2003,4,closed,12/1/2003,2/13/2004,75,,,CHIN
6,6,54,54:Ar 6 Sport,2003,4,closed,12/1/2003,2/13/2004,75,,,CHIN
